"Could not save the job: %1","Could not save the job: %1"
"job with id ""%1"" does not exist.","job with id ""%1"" does not exist."
"Could not delete the job: %1","Could not delete the job: %1"
"Connector for request not found","Connector for request not found"
"Could not save the request: %1","Could not save the request: %1"
"request with id ""%1"" does not exist.","request with id ""%1"" does not exist."
"Could not delete the request: %1","Could not delete the request: %1"
"Customer not found","Customer not found"
"Authentication failed","Authentication failed"
"Asnyc queue error(s) notification","Asnyc queue error(s) notification"
"Connector error","Connector error"
"Async Queue","Async Queue"
"General Configuration","General Configuration"
"Send error email(s) to:","Send error email(s) to:"
"Comma seperated list of emails","Comma seperated list of emails"
