"Fetch Data","Fetch Data"
"Active quote not found","Active quote not found"
"Could not apply coupon: %1","Could not apply coupon: %1"
"Could not remove coupon: %1","Could not remove coupon: %1"
"Prepaid balance feature is not enabled.","Prepaid balance feature is not enabled."
"Invalid balance amount.","Invalid balance amount."
"Unable to get quote extension attributes.","Unable to get quote extension attributes."
"Balance amount cannot be negative.","Balance amount cannot be negative."
"Customer must be logged in to use prepaid balance.","Customer must be logged in to use prepaid balance."
"No prepaid balance available.","No prepaid balance available."
"Requested amount exceeds available prepaid balance.","Requested amount exceeds available prepaid balance."
"Requested amount exceeds order total.","Requested amount exceeds order total."
"An error occurred while validating prepaid balance: %1","An error occurred while validating prepaid balance: %1"
"Unable to fetch prepaid balance.","Unable to fetch prepaid balance."
"We have a discount for you","We have a discount for you"
"Get %1 on your first purchase!","Get %1 on your first purchase!"
"Enter your email below and we will send you the discount code.","Enter your email below and we will send you the discount code."
"Get discount","Get discount"
"Thank you! Your discount code will be sent to your email.","Thank you! Your discount code will be sent to your email."
"50% off","50% off"
"Use Your Prepaid Balance","Use Your Prepaid Balance"
"Prepaid Balance First","Prepaid Balance First"
"Payment Method First","Payment Method First"
"Failed to retrieve access token from Leat, %1 %2","Failed to retrieve access token from Leat, %1 %2"
"Failed to authenticate with Leat using Personal Access Token","Failed to authenticate with Leat using Personal Access Token"
"Could not save quote item extension attributes: %1","Could not save quote item extension attributes: %1"
"Quote item extension attributes with item_id ""%1"" does not exist.","Quote item extension attributes with item_id ""%1"" does not exist."
"Could not delete quote item extension attributes: %1","Could not delete quote item extension attributes: %1"
". ': %1'",". ': %1'"
"Error validating attributes: %1","Error validating attributes: %1"
"Extension attributes for this item already exist.","Extension attributes for this item already exist."
"Database conflict detected. Please try again.","Database conflict detected. Please try again."
"Could not add gift product %1: %2","Could not add gift product %1: %2"
"Free gift from promotion","Free gift from promotion"
"Gift from promotion (%d%% discount)","Gift from promotion (%d%% discount)"
"Auth failed","Auth failed"
"No contact found","No contact found"
"Leat Loyalty","Leat Loyalty"
Sync,Sync
"Sync Leat Data","Sync Leat Data"
"Synchronize data with Leat (attributes, etc.)","Synchronize data with Leat (attributes, etc.)"
"Sync Status","Sync Status"
"General Configuration","General Configuration"
